Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,55769	0,6117901	1,16948	22	25,72792	2	6	128	166	382	7,5	False	---
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,6700901	0,60238	1,27247	22	25,72792	2	6	128	166	382	10	False	---
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,5609699	0,61562	1,17659	22	25,72792	2	6	128	166	382	2,5	True	0%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,7888	0,79375	1,58255	22	25,72792	2	6	128	166	382	2,5	True	10%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,61752	0,6156601	1,23318	22	25,72792	2	6	128	166	382	2,5	True	20%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,56638	0,5843	1,15068	22	25,72792	2	6	128	166	382	2,5	True	30%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,56887	0,62905	1,19792	22	25,72792	2	6	128	166	382	5	True	0%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,74238	0,72384	1,46622	22	25,72792	2	6	128	166	382	5	True	10%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,81265	0,81005	1,6227	22	25,72792	2	6	128	166	382	5	True	20%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,74366	0,7161599	1,45982	22	25,72792	2	6	128	166	382	5	True	30%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,79459	0,68464	1,47923	22	25,72792	2	6	128	166	382	7,5	True	0%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,53961	0,61898	1,15859	22	25,72792	2	6	128	166	382	7,5	True	10%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,51124	0,5800999	1,09134	22	25,72792	2	6	128	166	382	7,5	True	20%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,5230001	0,59782	1,12082	22	25,72792	2	6	128	166	382	7,5	True	30%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,64021	0,64863	1,28884	22	25,72792	2	6	128	166	382	10	True	0%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,55512	0,60153	1,15665	22	25,72792	2	6	128	166	382	10	True	10%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,65321	0,67886	1,33207	22	25,72792	2	6	128	166	382	10	True	20%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,53964	0,60479	1,14443	22	25,72792	2	6	128	166	382	10	True	30%
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,47724	1,27486	1,7521	22	25,72792	3	10	181	278	622	---	---	---
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,45947	0,84309	1,30256	22	25,72792	1	5	181	278	462	2,5	False	---
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,39964	0,79481	1,19445	22	25,72792	1	5	181	278	462	5	False	---
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,53162	0,88723	1,41885	22	25,72792	1	5	181	278	462	7,5	False	---
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,47191	0,77468	1,24659	22	25,72792	1	5	181	278	462	10	False	---
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,44075	0,86242	1,30317	22	25,72792	1	5	181	278	462	2,5	True	0%
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,45334	0,86237	1,31571	22	25,72792	1	5	181	278	462	2,5	True	10%
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,42518	0,80821	1,23339	22	25,72792	1	5	181	278	462	2,5	True	20%
AR0300SR	(96x121)	(118x112)	16	Dijkstra	True	0,4891	0,86406	1,35316	22	25,72792	1	5	181	278	462	2,5	True	30%
